ID	Assessment	Class	Group_Number	Group	Subgroup_Number	Subgroup	HDIndex	Participant_Knowledge_Avg	Participant_Knowledge_Med	Participant_Knowledge_AvgxHDI	Participant_Knowledge_MedxHDI
1	CR-MAN	Human_Wellbeing	4	Socio-cultural	4.4	Spiritual_experience_and_sense_of_place	0.776	2	2	1.55	1.55
2	CR-MAN	Human_Wellbeing	1	Physical	1.3	Health	0.776	2	2	1.55	1.55
3	CR-MAN	Human_Wellbeing	3	Mental	3.3	Health	0.776	2	2	1.55	1.55
4	CR-MAN	Human_Wellbeing	1	Physical	1.2	Food	0.776	2	2	1.55	1.55
5	CR-MAN	Human_Wellbeing	1	Physical	1.4	Safety_(including_housing,_shelter,_etc.)	0.776	2	2	1.55	1.55
6	CR-MAN	Ecosytem_Services	1	Provisioning	1.2	Food	0.776	2	2	1.55	1.55
7	CR-MAN	Ecosytem_Services	1	Provisioning	1.2	Food	0.776	2	2	1.55	1.55
8	CR-MAN	Ecosytem_Services	1	Provisioning	1.2	Food	0.776	2	2	1.55	1.55
9	CR-MAN	Ecosytem_Services	4	Supporting	NA	NA	0.776	2	2	1.55	1.55
10	CR-MAN	Ecosytem_Services	2	Regulating	2.1	Atmosphere	0.776	2	2	1.55	1.55
11	CR-MAN	Ecosytem_Services	2	Regulating	2.4	Climate	0.776	2	2	1.55	1.55
12	CR-MAN	Ecosytem_Services	2	Regulating	2.5	Protection	0.776	2	2	1.55	1.55
13	CR-MAN	Ecosytem_Services	2	Regulating	2.5	Protection	0.776	2	2	1.55	1.55
14	CR-MAN	Ecosytem_Services	2	Regulating	2.2	Hydrosphere	0.776	2	2	1.55	1.55
15	CR-MAN	Ecosytem_Services	4	Supporting	NA	NA	0.776	2	2	1.55	1.55
16	CR-MAN	Ecosytem_Services	4	Supporting	NA	NA	0.776	2	2	1.55	1.55
17	CR-MAN	Ecosytem_Services	3	Cultural	3.3	Aesthetic_appreciation_and_inspiration	0.776	2	2	1.55	1.55
18	CR-MAN	Ecosytem_Services	3	Cultural	3.3	Aesthetic_appreciation_and_inspiration	0.776	2	2	1.55	1.55
19	CR-MAN	Ecosytem_Services	3	Cultural	3.1	Recreation	0.776	2	2	1.55	1.55
20	CR-MAN	Ecosytem_Services	3	Cultural	3.4	Spiritual_experience_and_sense_of_place	0.776	2	2	1.55	1.55
21	CR-MAN	Biodiversity_Objects	1	Ecosystem	1.3	Marine	0.776	2	2	1.55	1.55
22	CR-MAN	Biodiversity_Objects	1	Ecosystem	1.2	FresHuman_Wellbeingater	0.776	2	2	1.55	1.55
23	CR-MAN	Biodiversity_Objects	1	Ecosystem	1.3	Marine	0.776	2	2	1.55	1.55
24	CR-MAN	Biodiversity_Objects	4	Species	4.2	FresHuman_Wellbeingater	0.776	2	2	1.55	1.55
25	CR-MAN	Biodiversity_Objects	3	Functional_group	3.3	Marine	0.776	2	2	1.55	1.55
