ID	Assessment	Class	IUCN_Group_Number	IUCN_Group	IUCN_Subgroup_Number	IUCN_Subgroup	Scope	Severity	Irreversibility	Past_criticality	Current_criticality	Trend_of_change	Future_criticality	Systemic_activity_(level_of_activity)	Systemic_activity_(no._of_influenced_elements)	Systemic_Activity	Strategic_relevance_(value)	Strategic_relevance_(Rank)	Manageability	Knowledge	Rank	Participant_Knowledge_Avg	Participant_Knowledge_Med	Participant_Knowledge_AvgxHDI	Participant_Knowledge_MedxHDI	Year
1	CR-MAN	Stress	9	Species_specific_key_attributes	9.1	Changed_physiology_and_behavior_of_individuals	1	1	1	1	1	1	1	NA	NA	NA	3	1	2	2	7	2.00	2	1.55	1.55	2011
2	CR-MAN	Stress	9	Species_specific_key_attributes	9.3	Changed_habitat_quantity_and_quality_(including_abiotic_and_biotic_habitat_components)	1	1	1	1	1	2	3	NA	NA	NA	6	1	3	2	6	2.00	2	1.55	1.55	2011
3	CR-MAN	Stress	8	Network	8.3	Changed_structure_and_composition_of_communities	3	3	4	1	4	1	1	NA	NA	NA	6	1	4	3	6	2.00	2	1.55	1.55	2011
4	CR-MAN	Stress	9	Species_specific_key_attributes	9.2	Changed_viable_population_size,_structure_and_natural_population_dynamics	3	3	3	3	3	2	1	NA	NA	NA	6	1	4	3	6	2.00	2	1.55	1.55	2011
5	CR-MAN	Stress	9	Species_specific_key_attributes	9.3	Changed_habitat_quantity_and_quality_(including_abiotic_and_biotic_habitat_components)	4	4	3	1	4	1	1	NA	NA	NA	6	1	2	1	6	2.00	2	1.55	1.55	2011
6	CR-MAN	Stress	9	Species_specific_key_attributes	9.2	Changed_viable_population_size,_structure_and_natural_population_dynamics	4	4	3	1	4	1	1	NA	NA	NA	6	1	2	1	6	2.00	2	1.55	1.55	2011
7	CR-MAN	Stress	6	Biomass	6.5	Changed_extent_of_ecosystems	4	4	3	3	4	2	2	NA	NA	NA	8	2	3	2	5	2.00	2	1.55	1.55	2011
8	CR-MAN	Stress	9	Species_specific_key_attributes	9.1	Changed_physiology_and_behavior_of_individuals	2	2	3	1	3	2	3	NA	NA	NA	8	2	3	2	5	2.00	2	1.55	1.55	2011
9	CR-MAN	Stress	3	Hydrosphere	3.1	Changed_water_characteristics	3	3	2	1	3	2	3	NA	NA	NA	8	2	3	2	5	2.00	2	1.55	1.55	2011
10	CR-MAN	Stress	3	Hydrosphere	3.1	Changed_water_characteristics	2	3	2	2	3	2	4	NA	NA	NA	9	3	3	2	4	2.00	2	1.55	1.55	2011
11	CR-MAN	Stress	8	Network	8.3	Changed_structure_and_composition_of_communities	4	4	4	4	4	3	2	NA	NA	NA	9	3	4	2	4	2.00	2	1.55	1.55	2011
12	CR-MAN	Stress	4	Lithosphere	4.2	Changed_chemical_soil_parameters	3	3	3	2	3	2	4	NA	NA	NA	9	3	3	1	4	2.00	2	1.55	1.55	2011
13	CR-MAN	Stress	3	Hydrosphere	3.1	Changed_water_characteristics	3	1	2	1	2	3	4	NA	NA	NA	9	3	4	1	4	2.00	2	1.55	1.55	2011
14	CR-MAN	Stress	7	Information	7.2	Changed_interspecific_diversity/species_richness	3	3	3	1	3	3	4	NA	NA	NA	10	3	3	2	3	2.00	2	1.55	1.55	2011
15	CR-MAN	Stress	4	Lithosphere	4.1	Changed_physical_soil_parameters	2	1	3	1	3	3	4	NA	NA	NA	10	3	2	1	3	2.00	2	1.55	1.55	2011
16	CR-MAN	Stress	3	Hydrosphere	3.1	Changed_water_characteristics	4	3	3	2	4	2	4	NA	NA	NA	10	3	2	1	3	2.00	2	1.55	1.55	2011
17	CR-MAN	Stress	7	Information	7.2	Changed_interspecific_diversity/species_richness	3	2	3	1	3	3	4	NA	NA	NA	10	3	4	2	3	2.00	2	1.55	1.55	2011
18	CR-MAN	Stress	9	Species_specific_key_attributes	9.3	Changed_habitat_quantity_and_quality_(including_abiotic_and_biotic_habitat_components)	3	3	3	1	3	3	4	NA	NA	NA	10	3	4	1	3	2.00	2	1.55	1.55	2011
19	CR-MAN	Stress	8	Network	8.3	Changed_structure_and_composition_of_communities	3	3	3	1	3	3	4	NA	NA	NA	10	3	2	2	3	2.00	2	1.55	1.55	2011
20	CR-MAN	Stress	9	Species_specific_key_attributes	9.1	Changed_physiology_and_behavior_of_individuals	4	2	4	1	4	3	4	NA	NA	NA	11	4	3	2	2	2.00	2	1.55	1.55	2011
21	CR-MAN	Stress	3	Hydrosphere	3.1	Changed_water_characteristics	4	3	4	1	4	3	4	NA	NA	NA	11	4	3	2	2	2.00	2	1.55	1.55	2011
